ain3[N],ain4[N],ain5[N]
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.622
0.000,1.770,1.622
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.740,1.680
0.000,1.740,1.680
0.000,1.770,1.710
0.000,1.770,1.710
0.000,1.770,1.710
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.770,1.680
0.000,1.651,1.680
0.000,1.651,1.680
0.000,1.651,1.680
0.000,1.566,1.680
0.000,1.566,1.680
0.000,1.486,1.680
0.000,1.486,1.680
0.000,1.460,1.680
0.000,1.460,1.680
0.000,1.460,1.680
0.000,1.338,1.680
0.000,1.338,1.680
0.000,1.338,1.680
0.000,1.338,1.680
0.000,1.315,1.651
0.000,1.315,1.651
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.688,2.109,6.133
0.688,2.109,6.133
0.688,2.223,10.737
0.688,2.223,10.737
0.700,2.469,14.713
0.700,2.469,14.713
0.700,2.602,18.798
0.700,2.602,18.798
0.700,2.602,18.798
0.700,3.046,22.393
0.700,3.046,22.393
0.700,4.247,25.311
0.700,4.247,25.311
0.700,4.247,25.311
0.700,4.635,25.758
0.700,4.635,25.758
0.700,4.555,28.609
0.700,4.555,28.609
0.700,4.476,30.151
0.700,4.476,30.151
0.700,4.801,31.225
0.700,4.801,29.628
0.700,4.801,29.628
0.700,4.801,29.628
0.700,4.635,30.151
0.700,4.635,30.151
0.700,4.030,28.113
0.700,4.030,28.113
0.700,3.383,26.675
0.700,3.383,26.675
0.700,3.210,19.811
0.700,3.210,19.811
0.700,3.210,19.811
0.700,3.154,14.713
0.700,3.154,14.713
0.700,3.210,9.667
0.700,3.210,9.667
0.700,3.210,6.933
0.700,3.210,6.933
0.700,2.993,4.030
0.700,2.993,4.030
0.688,2.941,2.469
0.688,2.941,2.469
0.688,3.210,1.680
0.688,3.210,1.680
0.688,2.890,1.486
0.688,2.890,1.486
0.688,3.099,1.315
0.688,3.099,1.315
0.688,3.099,1.292
0.688,3.099,1.292
0.688,3.503,1.292
0.688,3.503,1.292
0.688,3.565,1.292
0.688,3.565,1.292
0.688,3.210,1.248
0.688,3.210,1.248
0.688,3.443,1.248
0.688,3.443,1.248
0.688,3.443,1.248
0.688,3.383,1.226
0.688,3.383,1.226
0.688,3.046,1.123
0.688,3.046,1.123
0.000,3.210,1.104
0.700,3.628,1.123
0.700,3.628,1.123
0.688,3.692,1.143
0.688,3.692,1.143
0.688,3.267,1.184
0.688,3.267,1.184
0.000,3.503,1.143
0.000,3.503,1.143
0.000,3.383,1.104
0.000,3.383,1.104
0.688,3.757,1.123
0.688,3.757,1.123
0.688,3.757,1.123
0.688,3.891,1.143
0.688,3.824,1.226
0.688,3.824,1.226
0.688,4.476,1.292
0.688,4.476,1.292
0.688,4.476,1.292
0.688,4.635,1.740
0.688,4.101,7.567
0.688,4.101,7.567
0.688,4.101,7.567
0.700,3.628,14.458
0.700,3.267,17.836
0.700,3.267,17.836
0.700,3.267,17.836
0.700,3.154,20.517
0.700,3.383,22.788
