ain3[N],ain4[N],ain5[N]
0.000,3.267,2.384
0.000,3.267,2.384
0.000,3.267,2.384
0.000,3.267,2.426
0.000,3.267,2.426
0.000,3.324,2.426
0.000,3.383,2.426
0.000,3.383,2.426
0.000,3.383,2.426
0.000,3.383,2.426
0.000,3.443,2.469
0.000,3.443,2.469
0.000,3.503,2.426
0.000,3.503,2.469
0.000,3.503,2.469
0.000,3.503,2.469
0.000,3.503,2.469
0.000,3.565,2.469
0.000,3.565,2.469
0.000,3.565,2.469
0.000,3.503,2.469
0.000,3.503,2.469
0.000,3.503,2.512
0.000,3.503,2.512
0.688,3.503,2.469
0.688,3.503,2.469
0.000,3.565,2.469
0.000,3.565,2.469
0.000,3.565,2.469
0.000,3.565,2.469
0.000,3.565,2.469
0.000,3.565,2.469
0.000,3.565,2.469
0.000,3.565,2.469
0.000,3.565,2.469
0.000,3.628,2.512
0.000,3.628,2.512
0.000,3.565,2.512
0.000,3.565,2.512
0.000,3.628,2.512
0.000,3.628,2.512
0.000,3.628,2.557
0.000,3.628,2.557
0.688,3.628,2.512
0.688,3.628,2.512
0.000,3.628,2.557
0.000,3.628,2.557
0.000,3.628,2.557
0.000,3.628,2.557
0.000,3.628,2.557
0.000,3.628,2.648
0.000,3.628,2.648
0.000,3.628,2.648
0.000,3.692,2.648
0.000,3.692,2.648
0.000,3.692,2.602
0.000,3.692,2.602
0.688,3.628,2.602
0.688,3.628,2.602
0.000,3.628,2.602
0.000,3.628,2.602
0.000,3.628,2.602
0.000,3.565,2.602
0.000,3.565,2.602
0.000,3.565,2.557
0.000,3.565,2.557
0.000,3.565,2.557
0.000,3.565,2.557
0.000,3.565,2.557
0.000,3.692,2.742
0.000,3.757,2.791
0.000,3.757,2.791
0.688,3.824,2.742
0.688,3.824,2.742
0.688,3.824,2.742
0.688,3.565,2.648
0.688,3.565,2.648
0.688,3.503,2.890
0.688,3.503,2.890
0.000,3.565,2.840
0.000,3.565,2.840
0.688,3.503,2.791
0.688,3.503,2.791
0.688,3.503,2.791
0.688,3.565,3.099
0.688,3.565,3.099
0.000,3.692,2.890
0.000,3.692,2.890
0.000,3.628,2.262
0.000,3.628,2.262
0.000,3.383,2.557
0.000,3.383,2.557
0.000,3.383,2.223
0.000,3.383,2.223
0.000,3.046,2.146
0.000,3.046,2.146
0.000,3.046,2.146
0.688,2.602,2.184
0.688,2.602,2.184
0.000,2.343,1.932
0.000,2.343,1.932
0.000,2.343,1.899
0.000,2.343,1.899
0.000,2.343,1.899
0.000,2.262,2.001
0.000,2.262,2.001
0.000,2.695,2.302
0.000,2.695,2.302
0.000,2.695,2.302
0.000,3.046,2.146
0.000,3.046,2.146
0.000,3.210,2.223
0.000,3.210,2.223
0.000,3.154,2.426
0.000,3.154,2.426
0.000,2.993,2.426
0.000,2.993,2.426
0.000,3.154,2.343
0.000,3.154,2.343
0.000,3.503,2.469
0.000,3.503,2.469
0.000,3.503,2.469
0.000,3.692,2.343
0.000,3.692,2.343
0.000,3.891,2.343
0.000,3.891,2.343
0.000,3.891,2.343
0.000,4.030,2.343
0.000,4.030,2.343
0.000,4.247,2.223
0.000,4.173,2.223
0.000,4.173,2.223
0.000,4.030,2.146
0.000,4.030,2.146
0.000,4.030,2.146
0.000,4.101,2.262
0.000,4.101,2.262
0.000,4.173,2.262
0.000,4.173,2.262
0.000,4.173,2.343
0.000,4.173,2.343
0.000,3.960,2.469
0.000,3.960,2.469
0.000,3.628,2.469
0.000,3.628,2.469
0.000,3.443,2.512
0.000,3.443,2.512
0.000,3.324,2.469
0.000,3.324,2.469
0.000,3.324,2.469
0.000,3.267,2.557
0.000,3.267,2.557
0.000,3.267,2.602
0.000,3.267,2.602
0.000,2.695,2.557
0.000,2.695,2.557
0.000,2.557,2.343
0.000,2.557,2.343
0.000,2.302,2.146
0.000,2.302,2.146
0.000,2.146,2.184
0.000,2.146,2.184
0.000,2.109,2.072
0.000,2.109,2.072
0.000,1.899,2.072
0.000,1.899,2.072
0.000,1.740,2.302
0.000,1.740,2.302
0.000,1.932,2.384
0.000,1.932,2.384
0.000,2.072,2.602
0.000,2.072,2.602
0.000,2.262,2.648
0.000,2.262,2.648
0.000,2.384,3.046
0.000,2.384,3.046
0.688,2.262,3.383
0.688,2.262,3.383
0.688,2.072,3.210
0.688,2.072,3.210
0.000,1.770,2.469
0.000,1.770,2.469
0.000,1.740,2.223
0.000,1.740,2.223
0.000,1.740,2.343
0.000,1.740,2.343
0.000,1.802,2.343
0.000,1.802,2.343
0.000,1.834,2.343
0.000,1.834,2.343
0.000,1.932,2.384
0.000,1.932,2.384
0.000,2.001,2.512
0.000,2.001,2.512
0.000,2.072,2.557
0.000,2.072,2.557
0.000,2.072,2.512
0.000,2.072,2.512
0.000,2.037,2.426
0.000,2.037,2.426
0.000,2.184,2.602
0.000,2.184,2.602
0.000,2.426,2.742
0.000,2.426,2.742
0.688,2.890,3.099
0.688,2.890,3.099
0.688,3.383,3.891
0.688,3.383,3.891
0.688,3.960,4.555
0.688,3.960,4.555
0.688,4.398,5.619
0.688,4.398,5.619
0.688,5.149,6.578
0.688,5.149,6.578
0.688,5.149,6.578
0.688,5.426,7.567
0.688,5.426,7.567
0.688,5.719,7.974
0.688,5.719,7.974
0.688,5.719,7.055
0.688,5.059,6.578
0.688,5.059,6.578
0.688,3.891,5.922
0.688,3.891,5.922
0.688,3.757,4.972
0.688,3.891,3.891
0.688,3.891,3.891
0.000,3.692,2.993
0.000,3.692,2.993
0.000,4.101,3.210
0.688,5.426,3.503
0.000,6.027,4.030
0.000,6.027,4.030
0.688,6.242,4.555
0.688,5.820,3.692
0.688,5.522,3.503
0.688,5.522,3.503
0.688,5.332,3.503
0.000,5.332,3.503
0.000,5.332,3.503
0.000,6.027,3.757
0.688,5.619,3.628
0.688,5.619,3.628
0.000,4.030,3.210
0.000,3.154,2.840
0.000,3.154,2.840
0.000,3.267,2.791
0.000,3.267,2.791
0.000,3.267,2.791
0.688,3.757,2.840
0.688,3.503,3.046
0.688,3.503,3.046
0.000,2.602,2.840
0.000,2.602,2.840
0.000,1.866,2.262
0.000,1.866,2.262
0.000,1.740,2.302
0.000,1.740,2.302
0.000,1.740,2.302
0.688,1.740,2.426
0.688,1.740,2.426
0.000,1.710,2.890
0.688,2.146,3.565
0.688,2.146,3.565
0.688,2.557,4.635
0.688,2.557,4.635
0.688,2.993,6.027
0.688,2.993,6.027
0.688,2.993,6.027
0.688,3.154,6.578
