Aug 10 01:02:00.166 INFO: manager: 1.1.0
Aug 10 01:02:00.166 INFO: manager: Copyright (C) 2003-2010
Aug 10 01:02:00.167 INFO: manager:   Noriaki Ando
Aug 10 01:02:00.167 INFO: manager:   Intelligent Systems Research Institute, AIST
Aug 10 01:02:00.167 INFO: manager: Manager starting.
Aug 10 01:02:00.167 INFO: manager: Starting local logging.
Aug 10 01:02:00.180 INFO: NamingOnCorba: Endpoint for the CORBA naming service (localhost) is 127.0.0.1.
Aug 10 01:02:00.180 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Aug 10 01:02:02.301 INFO: ManagerServant: Master manager not found
Aug 10 01:02:07.174 WARNING: SdoServiceAdmin: No available SDO service in the factory: 
Aug 10 01:02:07.175 WARNING: SdoServiceAdmin: No available SDO service in the factory: IDL:OpenRTM/ComponentObserver:1.0
Aug 10 01:02:14.689 WARNING: command_in: buffer empty
Aug 10 01:02:14.690 WARNING: command_in: buffer empty
Aug 10 01:02:14.691 WARNING: command_in: buffer empty
Aug 10 01:02:14.692 WARNING: command_in: buffer empty
Aug 10 01:02:14.693 WARNING: command_in: buffer empty
Aug 10 01:02:14.694 WARNING: command_in: buffer empty
Aug 10 01:02:14.695 WARNING: command_in: buffer empty
Aug 10 01:02:14.696 WARNING: command_in: buffer empty
Aug 10 01:02:14.697 WARNING: command_in: buffer empty
Aug 10 01:02:14.698 WARNING: command_in: buffer empty
Aug 10 01:02:14.699 WARNING: command_in: buffer empty
Aug 10 01:02:14.700 WARNING: command_in: buffer empty
Aug 10 01:02:14.701 WARNING: command_in: buffer empty
Aug 10 01:02:14.702 WARNING: command_in: buffer empty
Aug 10 01:02:14.703 WARNING: command_in: buffer empty
Aug 10 01:02:14.704 WARNING: command_in: buffer empty
Aug 10 01:02:14.705 WARNING: command_in: buffer empty
Aug 10 01:02:14.706 WARNING: command_in: buffer empty
Aug 10 01:02:14.707 WARNING: command_in: buffer empty
Aug 10 01:02:14.708 WARNING: command_in: buffer empty
Aug 10 01:02:14.709 WARNING: command_in: buffer empty
Aug 10 01:02:14.710 WARNING: command_in: buffer empty
Aug 10 01:02:14.711 WARNING: command_in: buffer empty
Aug 10 01:02:14.712 WARNING: command_in: buffer empty
Aug 10 01:02:14.713 WARNING: command_in: buffer empty
Aug 10 01:02:14.714 WARNING: command_in: buffer empty
Aug 10 01:02:14.715 WARNING: command_in: buffer empty
Aug 10 01:02:14.716 WARNING: command_in: buffer empty
Aug 10 01:02:14.717 WARNING: command_in: buffer empty
Aug 10 01:02:14.718 WARNING: command_in: buffer empty
Aug 10 01:02:14.719 WARNING: command_in: buffer empty
Aug 10 01:02:14.720 WARNING: command_in: buffer empty
Aug 10 01:02:14.721 WARNING: command_in: buffer empty
Aug 10 01:02:14.722 WARNING: command_in: buffer empty
Aug 10 01:02:14.723 WARNING: command_in: buffer empty
Aug 10 01:02:14.724 WARNING: command_in: buffer empty
Aug 10 01:02:14.725 WARNING: command_in: buffer empty
